sector_name,SIC_name,frontier_subsector_ifnotSIC,is_frontier,sic_code
Advanced Manufacturing,Manufacture of chemicals and chemical products,NA,0,20
Advanced Manufacturing,Manufacture of computer electronic and optical products,NA,0,26
Advanced Manufacturing,Manufacture of electrical equipment,NA,0,27
Advanced Manufacturing,Manufacture of machinery and equipment not elsewhere classified,NA,0,28
Advanced Manufacturing,Manufacture of other transport equipment,NA,0,30
Advanced Manufacturing,Agritech (manuf agri machinery),Agritech,1,283
Advanced Manufacturing,Manufacture of air and spacecraft and related machinery,Aerospace manufacturing,1,303
Advanced Manufacturing,Repair and maintenance of aircraft and spacecraft,Aerospace manufacturing,1,3316
Advanced Manufacturing,Manufacture of motor vehicles trailers and semi-trailers,Automotive manufacturing,1,29
Advanced Manufacturing,Batteries,Batteries,1,272
Advanced Manufacturing,Space,Space,1,303
Advanced Manufacturing,NA,Advanced materials,1,NA
Clean Energy,NA,Carbon capture and undersea storage (CCUS) and greenhouse gas removal (GGR),1,NA
Clean Energy,NA,Heat pumps,1,NA
Clean Energy,NA,Hydrogen,1,NA
Clean Energy,NA,Nuclear fission,1,NA
Clean Energy,NA,Nuclear fusion,1,NA
Clean Energy,NA,Offshore and onshore wind,1,NA
Creative Industries,Manufacture of jewellery and related articles,NA,0,3212
Creative Industries,Publishing activities,NA,0,58
Creative Industries,Motion picture video and television programme production sound recording and music publishing activities,NA,0,59
Creative Industries,Programming and broadcasting activities,NA,0,60
Creative Industries,Computer programming activities,NA,0,6201
Creative Industries,Computer consultancy activities,NA,0,6202
Creative Industries,Public relations and communication activities,NA,1,7021
Creative Industries,Architectural activities,NA,0,7111
Creative Industries,Advertising,NA,1,731
Creative Industries,Specialised design activities,NA,0,741
Creative Industries,Photographic activities,NA,0,742
Creative Industries,Translation and interpretation activities,NA,0,743
Creative Industries,Sound recording and music publishing activities,NA,1,592
Creative Industries,Cultural education,NA,1,8552
Creative Industries,Creative arts and entertainment activities,NA,1,90
Creative Industries,Library and archive activities,NA,0,9101
Creative Industries,Museum activities,NA,0,9102
Creative Industries,Motion picture video and television programme activities,NA,1,591
Creative Industries,Television programming and broadcasting activities,NA,1,602
Creative Industries,Publishing of computer games,NA,1,5821
Creative Industries,Ready-made interactive leisure and entertainment software dev,NA,1,62011
Defence,Manufacture of weapons and ammunition,NA,0,254
Defence,Manufacture of military fighting vehicles,NA,0,304
Defence,,Combat air,1,NA
Defence,,Complex weapons,1,NA
Defence,,Directed energy,1,NA
Defence,,Drones and autonomous systems,1,NA
Defence,,Maritime capabilities,1,NA
Digital and Technologies,Manufacture of electronic components and boards,NA,0,261
Digital and Technologies,Manufacture of computers and peripheral equipment,NA,0,262
Digital and Technologies,Manufacture of communication equipment,NA,0,263
Digital and Technologies,Manufacture of consumer electronics,NA,0,264
Digital and Technologies,Manufacture of electronic instruments and appliances for measuring testing navigation,NA,0,26511
Digital and Technologies,Manufacture of electronic industrial process control equipment,NA,0,26512
Digital and Technologies,Manufacture of nonelectronic instruments and appliances for measuring testing navigation,NA,0,26513
Digital and Technologies,Manufacture of optical precision instruments,NA,0,26701
Digital and Technologies,Manufacture of magnetic and optical media,NA,0,268
Digital and Technologies,Manufacture of fibre optic cables,NA,0,2731
Digital and Technologies,Manufacture of other electronic and electric wires and cables,NA,0,2732
Digital and Technologies,Manufacture of other electrical equipment,NA,0,279
Digital and Technologies,Wholesale of information and communication equipment,NA,0,465
Digital and Technologies,Publishing activities,NA,0,58
Digital and Technologies,Motion picture video and television programme production sound recording and music publishing activities,NA,0,59
Digital and Technologies,Programming and broadcasting activities,NA,0,60
Digital and Technologies,Telecommunications,NA,0,61
